id,condition_expl,time,issue_name,female,age10y,educ2,party,interest_politics2,interest_voted_2020_2,interest_news2,R_two,R_all,extr,underst,issue_num,time_post
1,1,post,cap,a.Male,3.6,c.Master's or doctoral degree,a.Democrat,-1.67330540873427,a.Yes,-0.706067369117059,TRUE,0,2,5,1,TRUE
1,1,post,tax,a.Male,3.6,c.Master's or doctoral degree,a.Democrat,-1.67330540873427,a.Yes,-0.706067369117059,TRUE,0,2,5,2,TRUE
1,1,pre,cap,a.Male,3.6,c.Master's or doctoral degree,a.Democrat,-1.67330540873427,a.Yes,-0.706067369117059,TRUE,0,0,7,1,FALSE
1,1,pre,health,a.Male,3.6,c.Master's or doctoral degree,a.Democrat,-1.67330540873427,a.Yes,-0.706067369117059,TRUE,0,1,4,1,FALSE
1,1,pre,nuc,a.Male,3.6,c.Master's or doctoral degree,a.Democrat,-1.67330540873427,a.Yes,-0.706067369117059,TRUE,0,1,5,1,FALSE
1,1,pre,ss,a.Male,3.6,c.Master's or doctoral degree,a.Democrat,-1.67330540873427,a.Yes,-0.706067369117059,TRUE,0,2,4,2,FALSE
1,1,pre,tax,a.Male,3.6,c.Master's or doctoral degree,a.Democrat,-1.67330540873427,a.Yes,-0.706067369117059,TRUE,0,3,6,2,FALSE
1,1,pre,teach,a.Male,3.6,c.Master's or doctoral degree,a.Democrat,-1.67330540873427,a.Yes,-0.706067369117059,TRUE,0,2,6,2,FALSE
2,1,post,health,a.Male,3,c.Bachelor's degree,b.Republican,0.455581879731722,a.Yes,1.08598179107852,TRUE,0,3,6,1,TRUE
2,1,post,ss,a.Male,3,c.Bachelor's degree,b.Republican,0.455581879731722,a.Yes,1.08598179107852,TRUE,0,2,6,2,TRUE
2,1,pre,cap,a.Male,3,c.Bachelor's degree,b.Republican,0.455581879731722,a.Yes,1.08598179107852,TRUE,0,2,6,1,FALSE
2,1,pre,health,a.Male,3,c.Bachelor's degree,b.Republican,0.455581879731722,a.Yes,1.08598179107852,TRUE,0,1,6,1,FALSE
2,1,pre,nuc,a.Male,3,c.Bachelor's degree,b.Republican,0.455581879731722,a.Yes,1.08598179107852,TRUE,0,2,5,1,FALSE
2,1,pre,ss,a.Male,3,c.Bachelor's degree,b.Republican,0.455581879731722,a.Yes,1.08598179107852,TRUE,0,1,5,2,FALSE
2,1,pre,tax,a.Male,3,c.Bachelor's degree,b.Republican,0.455581879731722,a.Yes,1.08598179107852,TRUE,0,2,7,2,FALSE
2,1,pre,teach,a.Male,3,c.Bachelor's degree,b.Republican,0.455581879731722,a.Yes,1.08598179107852,TRUE,0,3,7,2,FALSE
3,1,post,nuc,a.Male,2.5,c.Bachelor's degree,b.Republican,0.455581879731722,a.Yes,1.08598179107852,TRUE,1,1,4,1,TRUE
3,1,post,teach,a.Male,2.5,c.Bachelor's degree,b.Republican,0.455581879731722,a.Yes,1.08598179107852,TRUE,1,2,5,2,TRUE
3,1,pre,cap,a.Male,2.5,c.Bachelor's degree,b.Republican,0.455581879731722,a.Yes,1.08598179107852,TRUE,1,1,5,1,FALSE
3,1,pre,health,a.Male,2.5,c.Bachelor's degree,b.Republican,0.455581879731722,a.Yes,1.08598179107852,TRUE,1,1,4,1,FALSE
3,1,pre,nuc,a.Male,2.5,c.Bachelor's degree,b.Republican,0.455581879731722,a.Yes,1.08598179107852,TRUE,1,0,4,1,FALSE
3,1,pre,ss,a.Male,2.5,c.Bachelor's degree,b.Republican,0.455581879731722,a.Yes,1.08598179107852,TRUE,1,3,5,2,FALSE
3,1,pre,tax,a.Male,2.5,c.Bachelor's degree,b.Republican,0.455581879731722,a.Yes,1.08598179107852,TRUE,1,2,6,2,FALSE
3,1,pre,teach,a.Male,2.5,c.Bachelor's degree,b.Republican,0.455581879731722,a.Yes,1.08598179107852,TRUE,1,2,3,2,FALSE
4,0,post,cap,a.Male,3.3,c.Bachelor's degree,a.Democrat,0.455581879731722,b.No or don't remember,-0.706067369117059,TRUE,0,2,5,1,TRUE
4,0,post,tax,a.Male,3.3,c.Bachelor's degree,a.Democrat,0.455581879731722,b.No or don't remember,-0.706067369117059,TRUE,0,2,5,2,TRUE
4,0,pre,cap,a.Male,3.3,c.Bachelor's degree,a.Democrat,0.455581879731722,b.No or don't remember,-0.706067369117059,TRUE,0,2,5,1,FALSE
4,0,pre,health,a.Male,3.3,c.Bachelor's degree,a.Democrat,0.455581879731722,b.No or don't remember,-0.706067369117059,TRUE,0,1,5,1,FALSE
4,0,pre,nuc,a.Male,3.3,c.Bachelor's degree,a.Democrat,0.455581879731722,b.No or don't remember,-0.706067369117059,TRUE,0,2,5,1,FALSE
4,0,pre,ss,a.Male,3.3,c.Bachelor's degree,a.Democrat,0.455581879731722,b.No or don't remember,-0.706067369117059,TRUE,0,1,4,2,FALSE
4,0,pre,tax,a.Male,3.3,c.Bachelor's degree,a.Democrat,0.455581879731722,b.No or don't remember,-0.706067369117059,TRUE,0,0,3,2,FALSE
4,0,pre,teach,a.Male,3.3,c.Bachelor's degree,a.Democrat,0.455581879731722,b.No or don't remember,-0.706067369117059,TRUE,0,1,5,2,FALSE
5,1,post,health,b.Female,4.5,c.Master's or doctoral degree,b.Republican,-0.608861764501275,b.No or don't remember,-0.706067369117059,FALSE,0,1,6,1,TRUE
5,1,post,ss,b.Female,4.5,c.Master's or doctoral degree,b.Republican,-0.608861764501275,b.No or don't remember,-0.706067369117059,FALSE,0,1,5,2,TRUE
5,1,pre,cap,b.Female,4.5,c.Master's or doctoral degree,b.Republican,-0.608861764501275,b.No or don't remember,-0.706067369117059,FALSE,0,2,7,1,FALSE
5,1,pre,health,b.Female,4.5,c.Master's or doctoral degree,b.Republican,-0.608861764501275,b.No or don't remember,-0.706067369117059,FALSE,0,1,5,1,FALSE
5,1,pre,nuc,b.Female,4.5,c.Master's or doctoral degree,b.Republican,-0.608861764501275,b.No or don't remember,-0.706067369117059,FALSE,0,2,3,1,FALSE
5,1,pre,ss,b.Female,4.5,c.Master's or doctoral degree,b.Republican,-0.608861764501275,b.No or don't remember,-0.706067369117059,FALSE,0,0,6,2,FALSE
5,1,pre,tax,b.Female,4.5,c.Master's or doctoral degree,b.Republican,-0.608861764501275,b.No or don't remember,-0.706067369117059,FALSE,0,1,7,2,FALSE
5,1,pre,teach,b.Female,4.5,c.Master's or doctoral degree,b.Republican,-0.608861764501275,b.No or don't remember,-0.706067369117059,FALSE,0,1,7,2,FALSE
6,1,post,nuc,b.Female,2.5,c.Bachelor's degree,a.Democrat,0.455581879731722,a.Yes,-0.706067369117059,TRUE,0,3,7,1,TRUE
6,1,post,teach,b.Female,2.5,c.Bachelor's degree,a.Democrat,0.455581879731722,a.Yes,-0.706067369117059,TRUE,0,1,7,2,TRUE
6,1,pre,cap,b.Female,2.5,c.Bachelor's degree,a.Democrat,0.455581879731722,a.Yes,-0.706067369117059,TRUE,0,1,6,1,FALSE
6,1,pre,health,b.Female,2.5,c.Bachelor's degree,a.Democrat,0.455581879731722,a.Yes,-0.706067369117059,TRUE,0,1,6,1,FALSE
6,1,pre,nuc,b.Female,2.5,c.Bachelor's degree,a.Democrat,0.455581879731722,a.Yes,-0.706067369117059,TRUE,0,2,6,1,FALSE
