"","X","w1.date","treat","sex","age","educ","cauc","hisp","black","midEast","pacIsl","natAm","SAsian","EAsian","SEAsian","party","pDem","state","passCheck","videoContent","w1.totalQuestionnaireMin","w1.finishedQuestionnaire","onTaskMin","offTaskMin","w2.date","w2.totalQuestionnaireMin","w2.finishedQuestionnaire","leafyVeg_Freq","leafyVeg_Ounces","otherVeg_Freq","otherVeg_Ounces","fruit_Freq","fruit_Ounces","wholeGrain_Freq","wholeGrain_Ounces","legumes_Freq","legumes_Ounces","chicken_Freq","chicken_Ounces","turkey_Freq","turkey_Ounces","fish_Freq","fish_Ounces","pork_Freq","pork_Ounces","beef_Freq","beef_Ounces","otherMeat_Freq","otherMeat_Ounces","dairy_Freq","dairy_Ounces","eggs_Freq","eggs_Ounces","refined_Freq","refined_Ounces","beverages_Freq","beverages_Ounces","guessPurpose","guessPurpose2","covid","importHealth","importEnviro","importAnimals","X1_spec","X2_spec","X3_spec","X4_spec","X5_spec","X6_spec","X1_activ","X2_activ","X3_activ","X4_activ","X5_activ","X1_dom","X2_dom","X3_dom","X4_dom","X5_dom","X6_dom","X7_dom","X8_dom","ID","chicken","turkey","fish","pork","beef","otherMeat","dairy","eggs","refined","beverages","leafyVeg","otherVeg","fruit","wholeGrain","legumes","totalMeat","totalAnimProd","mainY","mainYFreqOnly","totalGood","spec","activ","dom","aware","female","young","party2","pDem2","collegeGrad","fuDays","numFoodFreqMissing","treat.pretty"
"1",1,2020-08-26,0,"a.Female",38,"d.4yr",1,0,0,0,0,0,0,0,0,"Republican",0.450983403182864,"Michigan",FALSE,"It is important to teach children good habits in terms of exercise.",2511,TRUE,7.18546666666667,13.9246,2020-09-07,318,TRUE,2,3.5,5.5,3.5,5.5,3.5,3.5,5,2,3.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,3.5,2,0,0,0,0,0,0,"a.totalCal","a.generalPatterns","c.slightlyLess",3,2,2,7,2,4,3,-6,5,1,1,5,2,4,1,1,-6,-7,5,3,-6,-6,"54847013fdf99b0379939c8a",12.25,0,0,0,0,0,7,0,0,0,7,19.25,19.25,17.5,7,12.25,7,19.25,7,70,0.539241435839556,-1.07558523388298,-0.322414182800594,FALSE,1,FALSE,"a.Republican",4.50983403182864,TRUE,12,0,"Control"
"2",2,2020-08-26,0,"b.Male",31,"d.4yr",1,0,0,0,0,0,0,0,0,"Democrat",0.699132241158159,"California",FALSE,"Most Americans get less than the recommended amount of exercise.",1403,TRUE,6.05678333333333,15.9075833333333,2020-09-07,1804,TRUE,5.5,3.5,2,3.5,7,3.5,3.5,3.5,2,3.5,2,3.5,2,3.5,3.5,3.5,0,0,0,0,0,0,2,3.5,0,0,5.5,5,3.5,5,"a.totalCal","d.dontKnow","e.slightlyMore",4,4,4,1,1,1,2,-7,4,5,4,4,6,4,2,1,-7,-7,1,1,-7,-7,"558823c2fdf99b318cb4224b",7,7,12.25,0,0,0,7,0,27.5,17.5,19.25,7,24.5,12.25,7,26.25,7,33.25,9.5,70,-1.23336631492466,0.320899552927314,-1.10287065481974,FALSE,0,FALSE,"c.Democrat",6.99132241158159,TRUE,12,0,"Control"
"3",3,2020-08-26,0,"b.Male",37,"d.4yr",1,0,0,0,0,0,0,0,0,"Republican",0.421696362243877,"Arizona",FALSE,"Most Americans get less than the recommended amount of exercise.",1563,TRUE,1.22953333333333,20.6564166666667,2020-09-07,247,TRUE,7,2,14,5,0,0,7,3.5,0,0,14,5,0,0,7,2,0,0,0,0,0,0,0,0,7,2,0,0,0,0,"a.totalCal","a.generalPatterns","d.noChange",6,2,1,6,6,5,6,-5,4,1,1,3,1,1,7,7,-1,-1,7,7,-1,-1,"5589c7cefdf99b18bd86cf31",70,0,14,0,0,0,0,14,0,0,14,70,0,24.5,0,84,14,98,28,108.5,1.4937225324049,-1.91347610596916,3.48231111829276,FALSE,0,FALSE,"a.Republican",4.21696362243877,TRUE,12,0,"Control"
"4",4,2020-08-26,1,"b.Male",34,"d.4yr",0,0,0,0,0,0,0,1,0,"Democrat",0.809732189944025,"New York",TRUE,"The ways we raise animals for human consumption causes the animals to suffer.",1347,TRUE,19.2601166666667,1.70755,2020-09-14,335,TRUE,5.5,3.5,3.5,3.5,0,0,0,0,1,3.5,5.5,3.5,0,0,0,0,1,2,2,2,0,0,1,2,3.5,2,14,2,1,3.5,"j.dontKnow","","c.slightlyLess",3,4,4,1,1,1,1,-5,4,1,4,7,7,5,1,1,-7,-7,1,2,-7,-7,"558fff05fdf99b3f7aada357",19.25,0,0,2,4,0,2,7,28,3.5,19.25,12.25,0,0,3.5,25.25,9,34.25,13,35,-1.09701187255818,0.460548031608344,-1.10287065481974,FALSE,0,FALSE,"c.Democrat",8.09732189944025,TRUE,19,0,"Documentary"
"5",5,2020-08-26,0,"a.Female",44,"d.4yr",1,0,0,0,0,0,0,0,0,"Republican",0.453777193603289,"Mississippi",FALSE,"Most Americans get less than the recommended amount of exercise.",1301,TRUE,0.04615,20.6572,2020-09-07,228,TRUE,2,3.5,3.5,3.5,5.5,3.5,3.5,3.5,2,3.5,2,5,0,0,0,0,1,3.5,3.5,3.5,0,0,3.5,3.5,3.5,3.5,3.5,3.5,0,0,"j.dontKnow","","d.noChange",3,2,3,4,3,4,4,-4,3,4,4,4,4,2,2,2,-2,-6,6,2,-6,-6,"559e6830fdf99b4f0b98514a",10,0,0,3.5,12.25,0,12.25,12.25,12.25,0,7,12.25,19.25,12.25,7,25.75,24.5,50.25,13.5,57.75,0.402886993473078,-0.377342840477835,0.360485230216162,FALSE,1,FALSE,"a.Republican",4.53777193603289,TRUE,12,0,"Control"
"6",6,2020-08-26,1,"a.Female",30,"d.4yr",0,0,1,0,0,0,0,0,0,"Democrat",0.681206513581357,"Ohio",TRUE,"The ways we raise animals for human consumption causes the animals to suffer.",2261,TRUE,2.83708333333333,19.7165166666667,2020-09-07,257,TRUE,3.5,3.5,2,3.5,5.5,3.5,2,3.5,1,2,0,0,0,0,2,3.5,0,0,0,0,0,0,3.5,3.5,0,0,0,0,3.5,3.5,"a.totalCal","a.generalPatterns","d.noChange",5,6,5,1,1,1,1,-7,1,6,6,7,7,6,1,1,-7,-7,1,1,-7,-7,"55a47692fdf99b126e625257",0,0,7,0,0,0,12.25,0,0,12.25,12.25,7,19.25,7,2,7,12.25,19.25,5.5,47.5,-1.77878408439057,1.57773586105658,-1.20042771382214,FALSE,1,FALSE,"c.Democrat",6.81206513581357,TRUE,12,0,"Documentary"
"7",7,2020-08-26,0,"a.Female",41,"e.post",1,0,0,0,0,0,0,0,0,"Independent",0.617554188198222,"Massachusetts",FALSE,"Most Americans get less than the recommended amount of exercise.",1422,TRUE,0.0549333333333333,21.7796,2020-09-07,222,TRUE,5.5,5,5.5,5,3.5,3.5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3.5,1,3.5,3.5,3.5,0,0,"j.dontKnow","","d.noChange",5,5,6,1,1,1,1,-7,1,4,5,7,7,7,1,1,-7,-7,1,1,-7,-7,"55a55bd7fdf99b790558627c",0,0,0,0,0,0,24.5,3.5,12.25,0,27.5,27.5,12.25,5,0,0,28,28,8,72.25,-1.77878408439057,1.29843890369452,-1.20042771382214,FALSE,1,FALSE,"b.Neutral",6.17554188198222,TRUE,12,0,"Control"
"8",8,2020-08-26,0,"a.Female",59,"d.4yr",1,0,0,0,0,0,0,0,0,"Democrat",0.343176038428935,"Virginia",FALSE,"It is important to teach children good habits in terms of exercise.",1392,TRUE,0.557116666666667,20.8279833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"55ad7888fdf99b6eff50171d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,FALSE,"c.Democrat",3.43176038428935,TRUE,NA,8,"Control"
"9",9,2020-08-26,1,"a.Female",47,"c.2yr",1,0,0,0,0,0,0,0,0,"Republican",0.572747088994092,"Washington",TRUE,"The ways we raise animals for human consumption causes the animals to suffer.",2021,TRUE,0.878183333333333,28.92785,2020-09-07,484,TRUE,3.5,3.5,3.5,3.5,2,2,5.5,5,1,2,2,3.5,0,0,0,0,0,0,2,3.5,0,0,2,2,0,0,0,0,3.5,5,"j.dontKnow","","d.noChange",4,2,4,6,5,6,6,-1,6,3,2,6,6,4,7,1,-2,-3,7,7,-1,-5,"55b6ed4afdf99b437183fa6f",7,0,0,0,7,0,4,0,0,17.5,12.25,12.25,4,27.5,2,14,4,18,6,58,2.31184918660377,0.0416025955652547,2.21406935126164,FALSE,1,FALSE,"a.Republican",5.72747088994092,TRUE,12,0,"Documentary"
"10",10,2020-08-26,0,"b.Male",30,"e.post",1,0,0,0,0,0,0,0,0,"Republican",0.401249889919596,"Oklahoma",FALSE,"Exercising for even 10 minutes a day can improve health.",1394,TRUE,0.179333333333333,20.5193833333333,2020-09-08,603,TRUE,3.5,3.5,5.5,3.5,5.5,5,5.5,5,1,3.5,3.5,3.5,1,3.5,3.5,2,1,2,2,3.5,0,0,7,2,2,3.5,0,0,0,0,"a.totalCal","a.generalPatterns","d.noChange",6,4,3,6,6,3,6,-2,6,1,1,1,1,1,6,5,-1,-5,6,6,-3,-7,"55c4ea6dfdf99b4adb996618",12.25,3.5,7,2,7,0,14,7,0,0,12.25,19.25,27.5,27.5,3.5,31.75,21,52.75,20,90,1.90278585950434,-2.19277306333122,1.82384111525207,FALSE,0,FALSE,"a.Republican",4.01249889919596,TRUE,13,0,"Control"
"11",11,2020-08-26,0,"b.Male",38,"d.4yr",0,0,0,0,0,0,0,1,0,"Independent",0.617144264192111,"Texas",FALSE,"Exercising for even 10 minutes a day can improve health.",1339,TRUE,6.08595,14.7568333333333,2020-09-07,197,TRUE,3.5,2,3.5,2,3.5,2,2,2,2,2,3.5,3.5,0,0,0,0,2,2,2,2,0,0,0,0,5.5,2,7,2,0,0,"a.totalCal","a.generalPatterns","d.noChange",6,5,5,4,4,1,1,-5,4,4,4,7,7,4,4,1,-7,-7,7,4,-7,-7,"5687d85e369319000c269c55",12.25,0,0,4,4,0,0,11,14,0,7,7,7,4,4,20.25,11,31.25,13,29,-0.278885218359312,0.739844988970404,-0.0297430057934127,FALSE,0,FALSE,"b.Neutral",6.17144264192111,TRUE,12,0,"Control"
"12",12,2020-08-26,0,"b.Male",28,"b.HS",0,0,1,0,0,0,0,0,0,"Democrat",0.716073089444421,"Maryland",FALSE,"Exercising for even 10 minutes a day can improve health.",2155,TRUE,0.854983333333333,33.6470833333333,2020-09-08,310,TRUE,1,3.5,1,3.5,1,2,0,0,0,0,1,3.5,0,0,1,3.5,0,0,0,0,0,0,0,0,1,3.5,0,0,2,3.5,"j.dontKnow","","b.somewhatLess",5,3,2,3,2,4,4,-6,2,2,2,3,1,1,1,1,-7,-7,7,1,-7,-7,"568f260a7d961b000d96976c",3.5,0,3.5,0,0,0,0,3.5,0,7,3.5,3.5,2,0,0,7,3.5,10.5,3,9,-0.278885218359312,-1.6341791486071,-0.615085359807775,FALSE,0,FALSE,"c.Democrat",7.16073089444421,FALSE,13,0,"Control"
