"","analysis","mn0","mn1","med0","med1","est","g.est","nobs","pval","pvalBonf"
"1","mainY CC",56.49,53.16,49,49,"-2.22 [-8.32, 3.88]","-0.06 [-0.24, 0.11]",509,0.47,NA
"2","totalMeat CC",30.95,26.73,27.25,24.5,"-3.34 [-7.55, 0.87]","-0.14 [-0.31, 0.04]",509,0.12,1
"3","totalAnimProd CC",25.54,26.44,21,21.25,"1.13 [-2.33, 4.58]","0.06 [-0.12, 0.23]",509,0.52,1
"4","chicken CC",10.94,10.27,10,10,"-0.43 [-2.13, 1.27]","-0.04 [-0.22, 0.13]",509,0.62,1
"5","turkey CC",2.71,1.8,0,0,"-0.85 [-1.8, 0.1]","-0.15 [-0.33, 0.02]",509,0.08,1
"6","fish CC",4.49,3.6,3.5,0,"-0.73 [-1.76, 0.31]","-0.12 [-0.3, 0.05]",509,0.17,1
"7","pork CC",3.37,3.08,0,0,"-0.19 [-1.15, 0.78]","-0.03 [-0.21, 0.14]",509,0.7,1
"8","beef CC",7.23,6.62,5,5,"-0.38 [-1.71, 0.96]","-0.05 [-0.22, 0.12]",509,0.58,1
"9","otherMeat CC",2.22,1.35,0,0,"-0.78 [-1.6, 0.05]","-0.16 [-0.33, 0.01]",509,0.06,1
"10","dairy CC",17.24,18.79,12.25,12.25,"1.58 [-1.31, 4.48]","0.1 [-0.08, 0.27]",509,0.28,1
"11","eggs CC",8.3,7.64,7,4,"-0.46 [-2.01, 1.09]","-0.05 [-0.23, 0.12]",509,0.56,1
"12","totalGood CC",65.08,67.4,57.75,57.75,"2.01 [-4.99, 9.01]","0.05 [-0.13, 0.23]",509,0.57,1
"13","importHealth CC",3.88,3.86,4,4,"-0.03 [-0.23, 0.18]","-0.02 [-0.2, 0.15]",509,0.8,1
"14","importEnviro CC",3.53,3.49,3,3,"-0.03 [-0.25, 0.19]","-0.02 [-0.19, 0.15]",509,0.79,1
"15","importAnimals CC",3.36,3.43,3,3,"0.04 [-0.18, 0.26]","0.03 [-0.14, 0.21]",509,0.7,1
"16","activ CC",-0.1,0.01,-0.1,0.04,"0.08 [-0.09, 0.25]","0.08 [-0.09, 0.25]",509,0.35,1
"17","spec CC",0.04,-0.18,-0.01,-0.28,"-0.16 [-0.32, 0.01]","-0.16 [-0.32, 0.01]",509,0.06,1
"18","dom CC",0.01,-0.12,-0.13,-0.32,"-0.08 [-0.25, 0.09]","-0.08 [-0.25, 0.09]",509,0.34,1
