name,value,section
R_all - maxUY to explain away extr,2.87,NA
R_all - maxUY to explain away underst,3.19,NA
R_one - maxUY to explain away extr,12.5,NA
R_one - maxUY to explain away underst,13.89,NA
Applied n inattentive (R_all),74,NA
Perc n inattentive (R_all),37,NA
Applied n inattentive (R_one),17,NA
Perc n inattentive (R_one),8.5,NA
OR for attentiveness (Intercept),2.25140061978955,NA
OR for attentiveness femaleb.Female,1.21207401896194,NA
OR for attentiveness age10y,0.904850361530626,NA
OR for attentiveness educ2b.Associate's or professional degree,0.499798145891821,NA
OR for attentiveness educ2c.Bachelor's degree,0.687680242314,NA
OR for attentiveness educ2c.Master's or doctoral degree,1.02510813566089,NA
OR for attentiveness partyb.Republican,1.36229750401312,NA
OR for attentiveness partyc.Independent,0.584143949266156,NA
OR for attentiveness partye.Other (Please Specify),0.782007568375537,NA
OR for attentiveness interest_politics2,1.1532860235249,NA
OR for attentiveness interest_voted_2020_2b.No or don't remember,1.49246088925551,NA
OR for attentiveness interest_news2,1.21482817037505,NA
OR pval for attentiveness (Intercept),0.283838576336843,NA
OR pval for attentiveness femaleb.Female,0.531220128795047,NA
OR pval for attentiveness age10y,0.554817740934609,NA
OR pval for attentiveness educ2b.Associate's or professional degree,0.0885275242323803,NA
OR pval for attentiveness educ2c.Bachelor's degree,0.486539011114312,NA
OR pval for attentiveness educ2c.Master's or doctoral degree,0.949805240965913,NA
OR pval for attentiveness partyb.Republican,0.485954770410122,NA
OR pval for attentiveness partyc.Independent,0.224436653086416,NA
OR pval for attentiveness partye.Other (Please Specify),0.575819539524293,NA
OR pval for attentiveness interest_politics2,0.354370254488704,NA
OR pval for attentiveness interest_voted_2020_2b.No or don't remember,0.263201082479986,NA
OR pval for attentiveness interest_news2,0.209779713893182,NA
OR lo for attentiveness (Intercept),0.513723012467332,NA
OR lo for attentiveness femaleb.Female,0.66445593068709,NA
OR lo for attentiveness age10y,0.647612165477781,NA
OR lo for attentiveness educ2b.Associate's or professional degree,0.222689084378776,NA
OR lo for attentiveness educ2c.Bachelor's degree,0.240691589788059,NA
OR lo for attentiveness educ2c.Master's or doctoral degree,0.473118388212156,NA
OR lo for attentiveness partyb.Republican,0.569925331237271,NA
OR lo for attentiveness partyc.Independent,0.242146556789596,NA
OR lo for attentiveness partye.Other (Please Specify),0.327672494909142,NA
OR lo for attentiveness interest_politics2,0.853213666560573,NA
OR lo for attentiveness interest_voted_2020_2b.No or don't remember,0.735845331395732,NA
OR lo for attentiveness interest_news2,0.89775784893925,NA
OR hi for attentiveness (Intercept),10.1178138366236,NA
OR hi for attentiveness femaleb.Female,2.22194460933525,NA
OR hi for attentiveness age10y,1.26069903221638,NA
OR hi for attentiveness educ2b.Associate's or professional degree,1.10533317357795,NA
OR hi for attentiveness educ2c.Bachelor's degree,2.02674377120235,NA
OR hi for attentiveness educ2c.Master's or doctoral degree,2.22988404429231,NA
OR hi for attentiveness partyb.Republican,3.27403228276092,NA
OR hi for attentiveness partyc.Independent,1.38259465415065,NA
OR hi for attentiveness partye.Other (Please Specify),1.84944697745731,NA
OR hi for attentiveness interest_politics2,1.56346803277227,NA
OR hi for attentiveness interest_voted_2020_2b.No or don't remember,3.01206103867099,NA
OR hi for attentiveness interest_news2,1.65255061521864,NA
Mean diff for extr 1,1.60891368661172,NA
Mean diff for extr 2,-0.0507603656190653,NA
Mean diff for extr 3,0.0316390943105815,NA
Mean diff for extr 4,0.0917608117446969,NA
Mean diff for extr 5,0.157577626770745,NA
Mean diff for extr 6,0.0513483943596581,NA
Mean diff for extr 7,-0.0995504375037814,NA
Mean diff for extr 8,-0.108785093426753,NA
Mean diff for extr 9,-0.0577213512679126,NA
Mean diff for extr 10,-0.00747175691523529,NA
Mean diff for extr 11,0.0662098568161396,NA
Mean diff for extr 12,0.0161189071631102,NA
Mean diff for extr 13,0.0252820019212299,NA
Mean diff for extr 14,-0.0257968447266225,NA
Mean diff for extr 15,0.052945570903674,NA
Mean diff for extr 16,0.637490513534023,NA
Mean diff for extr 17,-0.214942237962727,NA
Mean diff for extr 18,0.129943502824858,NA
Mean diff for extr 19,-0.269246985411922,NA
Mean diff for extr 20,3.19567007762988,NA
Mean diff for extr 21,0.200287847828323,NA
Mean diff for extr 22,0.84745762711865,NA
Mean diff for extr 23,0.175141242937863,NA
Mean diff for extr 24,0.00581337575533956,NA
Mean diff for extr 25,0.0607244801424171,NA
Mean diff for extr 26,-0.0552019687145451,NA
Mean diff for extr 27,0.160097383306286,NA
Mean diff for extr 28,0.0202362317893199,NA
Mean diff for extr 29,-0.0282378614327165,NA
Mean diff for extr 30,0.0540105436285638,NA
Mean diff for extr 31,0.149607348860214,NA
Mean diff for extr 32,-0.026726628673012,NA
Mean diff for extr 33,0.154767407782367,NA
Mean diff for extr 34,-0.0244591569643154,NA
Mean diff for extr 35,-0.708154144531588,NA
Mean diff for extr 36,0.0288388565646264,NA
Mean diff for extr 37,-0.531073446327687,NA
Mean diff for extr 38,0.401720212496843,NA
Mean diff lo for extr 1,1.35601986109548,NA
Mean diff lo for extr 2,-0.154179527278218,NA
Mean diff lo for extr 3,-0.0247125801342892,NA
Mean diff lo for extr 4,-0.0470998072013849,NA
Mean diff lo for extr 5,-0.0246239561745121,NA
Mean diff lo for extr 6,-0.0792551496588314,NA
Mean diff lo for extr 7,-0.244251876088143,NA
Mean diff lo for extr 8,-0.259201152275749,NA
Mean diff lo for extr 9,-0.206418271164593,NA
Mean diff lo for extr 10,-0.0593111811939543,NA
Mean diff lo for extr 11,-0.0567233065719752,NA
Mean diff lo for extr 12,-0.0360500231970483,NA
Mean diff lo for extr 13,-0.0436474665468256,NA
Mean diff lo for extr 14,-0.192468746364935,NA
Mean diff lo for extr 15,-0.0175941541288322,NA
Mean diff lo for extr 16,-0.318170799273416,NA
Mean diff lo for extr 17,-0.517148879980543,NA
Mean diff lo for extr 18,-0.310800213878999,NA
Mean diff lo for extr 19,-0.873660269447553,NA
Mean diff lo for extr 20,2.28299594999548,NA
Mean diff lo for extr 21,-0.713214937034038,NA
Mean diff lo for extr 22,-0.47938568676649,NA
Mean diff lo for extr 23,-0.244443454063242,NA
Mean diff lo for extr 24,-0.264459490613308,NA
Mean diff lo for extr 25,-0.0849103081714818,NA
Mean diff lo for extr 26,-0.434931134721774,NA
Mean diff lo for extr 27,-0.311375191127126,NA
Mean diff lo for extr 28,-0.306982168526839,NA
Mean diff lo for extr 29,-0.396931881665563,NA
Mean diff lo for extr 30,-0.358082896363376,NA
Mean diff lo for extr 31,-0.233551979030886,NA
Mean diff lo for extr 32,-0.164254791098411,NA
Mean diff lo for extr 33,-0.177776580587542,NA
Mean diff lo for extr 34,-0.16520010531844,NA
Mean diff lo for extr 35,-2.52771888101541,NA
Mean diff lo for extr 36,-0.546558035176439,NA
Mean diff lo for extr 37,-1.3702428403372,NA
Mean diff lo for extr 38,-0.74907357098713,NA
Mean diff hi for extr 1,1.86180751212795,NA
Mean diff hi for extr 2,0.052658796040087,NA
Mean diff hi for extr 3,0.0879907687554521,NA
Mean diff hi for extr 4,0.230621430690779,NA
Mean diff hi for extr 5,0.339779209716002,NA
Mean diff hi for extr 6,0.181951938378148,NA
Mean diff hi for extr 7,0.0451510010805801,NA
Mean diff hi for extr 8,0.0416309654222419,NA
Mean diff hi for extr 9,0.0909755686287678,NA
Mean diff hi for extr 10,0.0443676673634838,NA
Mean diff hi for extr 11,0.189143020204254,NA
Mean diff hi for extr 12,0.0682878375232686,NA
Mean diff hi for extr 13,0.0942114703892854,NA
Mean diff hi for extr 14,0.14087505691169,NA
Mean diff hi for extr 15,0.12348529593618,NA
Mean diff hi for extr 16,1.59315182634146,NA
Mean diff hi for extr 17,0.0872644040550886,NA
Mean diff hi for extr 18,0.570687219528714,NA
Mean diff hi for extr 19,0.335166298623709,NA
Mean diff hi for extr 20,4.10834420526428,NA
Mean diff hi for extr 21,1.11379063269068,NA
Mean diff hi for extr 22,2.17430094100379,NA
Mean diff hi for extr 23,0.594725939938967,NA
Mean diff hi for extr 24,0.276086242123988,NA
Mean diff hi for extr 25,0.206359268456316,NA
Mean diff hi for extr 26,0.324527197292683,NA
Mean diff hi for extr 27,0.631569957739697,NA
Mean diff hi for extr 28,0.347454632105479,NA
Mean diff hi for extr 29,0.34045615880013,NA
Mean diff hi for extr 30,0.466103983620503,NA
Mean diff hi for extr 31,0.532766676751314,NA
Mean diff hi for extr 32,0.110801533752387,NA
Mean diff hi for extr 33,0.487311396152275,NA
Mean diff hi for extr 34,0.116281791389809,NA
Mean diff hi for extr 35,1.11141059195224,NA
Mean diff hi for extr 36,0.604235748305692,NA
Mean diff hi for extr 37,0.308095947681821,NA
Mean diff hi for extr 38,1.55251399598082,NA
